Sample Group,FcgR2A-1 RBD,FcgR2A-1 S2,FcgR2A-1 NTD,FcgR2A-2 RBD,FcgR2A-2 S2,FcgR3A RBD,FcgR3A S2,FcgR2A-2 NTD,FcgR2A-3 RBD,FcgR2A-3 S2,FcgR2A-3 NTD,FcgR2A-4 RBD,FcgR2A-4 S2,FcgR2A-4 NTD,FcgR3A NTD
I (10^11 vp),5.697117,5.757746,3.996183,5.704317,5.72956,5.59483,5.596438,4.017357,5.220508,5.17109,3.727277,5.863004,5.824615,4.326643,4.504614
I (10^11 vp),6.222178,6.218603,5.543307,6.154184,6.169847,6.063593,6.015056,5.474135,6.088417,5.991134,4.753621,6.1989,6.161115,5.623931,5.472271
I (10^11 vp),5.943893,5.836403,4.195485,5.829919,5.837233,5.794244,5.622728,4.069566,5.578556,5.279494,3.755532,5.904218,5.824601,4.491551,4.555161
I (10^11 vp),6.119879,6.030572,4.19457,6.077057,6.021959,5.951094,5.849072,4.188478,5.95696,5.758164,3.748266,6.066941,6.023573,4.624767,4.698044
I (10^11 vp),6.204862,6.188723,5.230074,6.195968,6.132683,6.035263,5.914286,5.132338,6.071271,5.918729,4.099353,6.189766,6.096794,5.357154,5.230746
II (5x10^10 vp),6.127522,6.12549,4.891994,6.055016,6.081706,5.951921,5.898617,4.833805,5.929792,5.864004,3.916454,6.071938,6.024241,4.965566,5.108597
II (5x10^10 vp),5.904073,5.869275,3.973151,5.867939,5.827447,5.668463,5.655963,4.022325,5.464646,5.222115,3.71307,5.909359,5.816451,4.126691,4.463718
II (5x10^10 vp),6.033799,5.971443,4.119157,6.00176,5.932157,5.827326,5.753466,4.163877,5.661068,5.602561,3.772358,5.971012,5.903966,4.494381,4.564364
II (5x10^10 vp),6.246966,6.180424,5.362089,6.224624,6.156003,6.106357,6.05196,5.266815,6.143655,5.998953,4.368854,6.199007,6.155549,5.61072,5.596849
II (5x10^10 vp),5.770874,5.785946,3.841547,5.754601,5.678713,5.716763,5.725687,3.785152,5.241655,4.95505,3.67189,5.869695,5.873774,4.046973,4.403022
III (1.125x10^10 vp),6.035596,5.933623,4.528402,5.93599,5.845974,5.879,5.842609,4.401646,5.764406,5.451621,3.746498,6.043596,5.959087,4.777853,5.096884
III (1.125x10^10 vp),5.863267,5.95926,4.246782,5.886782,5.922164,5.809137,5.85521,4.129182,5.610983,5.646913,3.728333,5.993128,6.007556,4.82429,4.973643
III (1.125x10^10 vp),5.695834,5.671561,3.875278,5.661806,5.596722,5.500084,5.519397,3.860503,5.002036,4.92638,3.642192,5.525013,5.507272,4.023582,4.465859
III (1.125x10^10 vp),5.021045,4.539129,3.707655,5.005946,4.567467,4.954763,4.615182,3.726911,4.367743,3.725054,3.665956,5.228681,4.906997,3.735,3.746089
III (1.125x10^10 vp),5.10879,4.719354,3.633872,4.988389,4.91163,4.917793,4.865028,3.654441,4.450565,3.82985,3.643305,5.302896,5.01182,3.678382,3.7352
IV (2x10^9 vp),5.865217,5.564156,3.715794,5.767167,5.542921,5.684779,5.485664,3.727094,5.681863,5.175463,3.665909,5.793105,5.491449,3.750894,3.745699
IV (2x10^9 vp),5.307,4.824456,3.768564,5.114094,4.795326,5.2436,4.907175,3.757415,4.428698,3.800751,3.679564,5.454761,5.174474,3.754042,3.769211
IV (2x10^9 vp),5.478486,5.037271,3.64557,5.467665,5.063417,5.334345,4.999763,3.680517,5.170185,4.190107,3.663748,5.621929,5.424504,3.675847,3.666471
IV (2x10^9 vp),5.495278,5.122144,3.711026,5.421983,5.078216,5.283664,5.011198,3.692781,5.022498,4.183313,3.64073,5.611924,5.301225,3.818275,3.795845
IV (2x10^9 vp),4.276209,3.795011,3.680879,4.347325,3.8203,4.807457,4.524954,3.704622,3.918004,3.541579,3.687752,4.756467,4.348519,3.727501,3.780875
V (sham),3.738959,3.49276,3.665651,3.764923,3.501196,3.748479,3.526113,3.664454,3.687373,3.51021,3.664877,3.797994,3.496549,3.687507,3.68507
V (sham),3.771183,3.476107,3.649627,3.739849,3.465308,3.775701,3.471438,3.660272,3.653357,3.466089,3.629944,3.75842,3.487633,3.677789,3.698122
V (sham),3.910918,3.585996,3.783153,3.979025,3.533931,3.96867,3.57798,3.773933,3.763016,3.475453,3.692053,4.040889,3.627954,3.88403,3.85164
V (sham),4.397666,3.580583,3.829899,4.428629,3.533931,4.475678,3.702904,3.794645,4.092115,3.497172,3.721831,4.622064,3.554126,3.881342,3.888334
V (sham),3.998543,3.703313,3.791059,3.952792,3.583454,3.901935,3.51637,3.79393,3.735519,3.46449,3.700184,4.043951,3.550381,3.83721,3.758912
V (sham),3.873466,3.592399,3.812613,4.127234,3.664595,3.93837,3.639113,3.901049,3.808785,3.49492,3.70187,3.911184,3.549003,3.761006,3.839824
V (sham),4.123035,3.608071,3.746517,3.903022,3.561787,3.828112,3.522672,3.795828,3.796904,3.502359,3.69489,3.881185,3.530007,3.770889,3.743843
V (sham),4.011359,3.689597,3.754463,3.918515,3.664031,3.823066,3.544316,3.742489,3.743902,3.55594,3.663465,3.830717,3.582347,3.731347,3.724583
V (sham),3.948352,3.59991,3.756332,3.880628,3.522314,3.974097,3.551267,3.747917,3.713721,3.479719,3.673528,3.977724,3.613287,3.793371,3.774115
V (sham),3.857905,3.573162,3.675343,3.812395,3.528145,3.819593,3.490415,3.680607,3.725952,3.466052,3.664454,3.87093,3.523193,3.728009,3.697556
